assay,antigen,type,group1,group2,n1,n2,p (Mann-Whitney U-test),p.adjusted (BH),p.adjusted(BH),log10 MFI difference
IgM,B.617.1.RBD,Titer,M,NInf,16,10,0.241,0.328856187,,0.147962213
FcR3A,B.617.1.S,FcR,P,M,15,16,0.247,0.332594059,,-0.102480183
FcR3B,B.617.1.S,FcR,P,M,15,16,0.247,0.332594059,,-0.180085793
FcR3B,B.617.2.S,FcR,P,M,15,16,0.247,0.332594059,,-0.124610693
IgM,B.617.1.RBD,Titer,P,M,15,16,0.247,0.332594059,,-0.117619017
IgM,HKU1.Spike,Titer,P,NInf,15,10,0.261,0.350289474,,-0.362807321
FcR2A,WT.S,FcR,P,M,15,16,0.264,0.352,,-0.13907366
FcR2B,B.617.2.S,FcR,P,M,15,16,0.264,0.352,,-0.134637185
FcR2A,B.617.1.S,FcR,P,M,15,16,0.281,0.369832258,,-0.063901529
FcR2A,WT.S1,FcR,P,M,15,16,0.281,0.369832258,,-0.129271816
FcR2B,B.1.351.S,FcR,P,M,15,16,0.281,0.369832258,,-0.109000576
IgM,WT.RBD,Titer,P,M,15,16,0.281,0.369832258,,-0.198174766
IgA,HKU1.Spike,Titer,P,NInf,15,10,0.285,0.373890675,,-0.359052966
FcR3A,B.617.1.S,FcR,M,NInf,16,10,0.31,0.405384615,,0.190432884
IgA,B.1.617.2.RBD,Titer,P,NInf,15,10,0.311,0.405392971,,-0.009372482
FcR2A,B.1.1.7.S,FcR,P,M,15,16,0.318,0.409287066,,-0.059654472
FcR3A,P1.S,FcR,P,M,15,16,0.318,0.409287066,,-0.122299653
IgA,B.1.617.2.RBD,Titer,P,M,15,16,0.318,0.409287066,,-0.199804498
IgM,B.617.1.S,Titer,P,M,15,16,0.318,0.409287066,,0.058737285
FcR2A,B.617.2.S,FcR,P,M,15,16,0.338,0.428273292,,-0.101631384
FcR2B,P1.RBD,FcR,P,M,15,16,0.338,0.428273292,,-0.038570717
FcR3A,B.1.1.7.S,FcR,P,M,15,16,0.338,0.428273292,,-0.091901343
IgA,B.617.1.S,Titer,P,M,15,16,0.338,0.428273292,,0.110331591
IgA,WT.NTD,Titer,P,NInf,15,10,0.338,0.428273292,,-0.059419981
FcR3B,B.1.351.S,FcR,P,M,15,16,0.358,0.449427692,,-0.087593183
IgA,WT.RBD,Titer,P,M,15,16,0.358,0.449427692,,-0.221386461
IgM,HKU1.Spike,Titer,P,M,15,16,0.358,0.449427692,,-0.138402761
FcR2A,B.617.1.S,FcR,M,NInf,16,10,0.363,0.454306748,,0.15735544
FcR2A,WT.NTD,FcR,P,M,15,16,0.423,0.526170732,,-0.016939251
IgM,WT.S2,Titer,P,M,15,16,0.423,0.526170732,,0.041230698
FcR2A,P1.S,FcR,P,M,15,16,0.446,0.551418182,,-0.092235709
FcR3A,B.617.2.S,FcR,P,M,15,16,0.446,0.551418182,,-0.102302534
IgA,B.617.1.RBD,Titer,M,NInf,16,10,0.452,0.557148036,,0.096872958
IgA,WT.NTD,Titer,P,M,15,16,0.47,0.575855856,,0.00477805
IgM,B.1.1.7.RBD,Titer,P,M,15,16,0.47,0.575855856,,-0.117240158
IgA,B.617.2.S,Titer,P,M,15,16,0.495,0.604670659,,0.064828886
IgA,B.1.1.7.RBD,Titer,P,M,15,16,0.52,0.633313433,,-0.171723751
FcR3A,B.1.351.S,FcR,P,M,15,16,0.545,0.657869822,,-0.062914283
IgA,B.617.1.RBD,Titer,P,M,15,16,0.545,0.657869822,,-0.057681734
IgA,HKU1.Spike,Titer,P,M,15,16,0.545,0.657869822,,-0.17637829
IgM,B.1.1.7.S,Titer,P,M,15,16,0.572,0.688424779,,-0.064193578
FcR2A,B.1.351.S,FcR,P,M,15,16,0.599,0.714596491,,-0.053104606
FcR3B,WT.NTD,FcR,P,M,15,16,0.599,0.714596491,,-0.02350268
IgM,WT.NTD,Titer,P,M,15,16,0.599,0.714596491,,0.073206678
IgA,B.617.1.RBD,Titer,P,NInf,15,10,0.605,0.719650146,,0.039191224
IgM,P1.RBD,Titer,P,M,15,16,0.626,0.742465116,,0.060121069
IgM,B.617.1.RBD,Titer,P,NInf,15,10,0.643,0.760417391,,0.030343195
IgG1,OC43.Spike,Titer,P,M,15,16,0.654,0.771190751,,-0.115172675
FcR3B,HKU1.Spike,FcR,P,M,15,16,0.664,0.780726225,,-0.023100233
IgM,B.617.2.S,Titer,P,M,15,16,0.682,0.799586207,,0.075318663
IgA,B.1.617.2.RBD,Titer,M,NInf,16,10,0.698,0.816,,0.190432016
FcR2B,WT.NTD,FcR,P,M,15,16,0.711,0.824113636,,0.001541309
IgG3,WT.NTD,Titer,P,M,15,16,0.711,0.824113636,,-0.00617179
IgM,B.1.351.RBD,Titer,P,M,15,16,0.711,0.824113636,,-0.036866209
FcR3B,B.617.1.S,FcR,P,NInf,15,10,0.723,0.829450549,,0.109108202
IgG1,B.617.1.S,Titer,P,NInf,15,10,0.723,0.829450549,,-0.024080307
FcR3B,P1.RBD,FcR,M,NInf,16,10,0.737,0.829450549,,-0.004797879
IgA,B.1.351.RBD,Titer,M,NInf,16,10,0.737,0.829450549,,0.05955013
IgA,B.617.2.S,Titer,M,NInf,16,10,0.737,0.829450549,,0.025242826
IgA,HKU1.Spike,Titer,M,NInf,16,10,0.737,0.829450549,,-0.182674676
IgA,OC43.Spike,Titer,M,NInf,16,10,0.737,0.829450549,,-0.026257487
IgM,B.1.1.7.S,Titer,M,NInf,16,10,0.737,0.829450549,,0.067290423
IgM,B.1.617.2.RBD,Titer,M,NInf,16,10,0.737,0.829450549,,0.161729011
IgA,B.1.1.7.S,Titer,P,M,15,16,0.74,0.829450549,,-0.087673196
IgA,WT.S,Titer,P,M,15,16,0.74,0.829450549,,0.004100874
IgG3,OC43.Spike,Titer,P,M,15,16,0.74,0.829450549,,-0.076529351
FcR2A,B.617.1.S,FcR,P,NInf,15,10,0.765,0.844516129,,0.093453911
FcR2B,B.617.1.S,FcR,P,NInf,15,10,0.765,0.844516129,,0.045901634
FcR3A,B.617.1.S,FcR,P,NInf,15,10,0.765,0.844516129,,0.087952701
IgM,B.1.1.7.S,Titer,P,NInf,15,10,0.765,0.844516129,,0.003096845
IgM,OC43.Spike,Titer,P,NInf,15,10,0.765,0.844516129,,0.017633225
FcR2A,HKU1.Spike,FcR,P,M,15,16,0.77,0.844516129,,-0.128236597
FcR2A,OC43.Spike,FcR,P,M,15,16,0.77,0.844516129,,-0.050512017
FcR3B,OC43.Spike,FcR,P,M,15,16,0.77,0.844516129,,-0.351036831
IgA,WT.S,Titer,P,NInf,15,10,0.807,0.882723861,,0.028376949
FcR2B,P1.RBD,FcR,M,NInf,16,10,0.816,0.885446809,,0.019494383
IgA,B.1.1.7.S,Titer,M,NInf,16,10,0.816,0.885446809,,0.069175093
IgM,OC43.Spike,Titer,M,NInf,16,10,0.816,0.885446809,,-0.032928371
IgA,P1.RBD,Titer,P,M,15,16,0.83,0.895873016,,0.002032026
IgG3,HKU1.Spike,Titer,P,M,15,16,0.83,0.895873016,,-0.029285043
IgA,B.1.1.7.S,Titer,P,NInf,15,10,0.849,0.909165354,,-0.018498103
IgA,B.617.2.S,Titer,P,NInf,15,10,0.849,0.909165354,,0.090071712
IgG3,B.617.1.S,Titer,P,NInf,15,10,0.849,0.909165354,,-0.005861253
FcR3A,HKU1.Spike,FcR,P,M,15,16,0.861,0.917201044,,-0.078449658
IgG1,HKU1.Spike,Titer,P,M,15,16,0.861,0.917201044,,-0.031116846
FcR3A,WT.NTD,FcR,P,M,15,16,0.892,0.933169231,,0.007744932
IgA,B.1.351.RBD,Titer,P,M,15,16,0.892,0.933169231,,-0.061660748
IgA,B.1.351.S,Titer,P,M,15,16,0.892,0.933169231,,0.023847475
IgA,P1.S,Titer,P,M,15,16,0.892,0.933169231,,-0.002910392
IgG1,WT.NTD,Titer,P,M,15,16,0.892,0.933169231,,0.007698485
IgM,OC43.Spike,Titer,P,M,15,16,0.892,0.933169231,,0.050561596
IgM,WT.S,Titer,P,NInf,15,10,0.892,0.933169231,,0.02929899
IgA,WT.S,Titer,M,NInf,16,10,0.897,0.933612245,,0.024276075
IgA,WT.S1,Titer,M,NInf,16,10,0.897,0.933612245,,0.007114615
FcR2B,OC43.Spike,FcR,P,M,15,16,0.922,0.95719084,,-0.171088559
IgM,B.1.351.RBD,Titer,M,NInf,16,10,0.938,0.968870886,,0.020494371
IgM,WT.S1,Titer,M,NInf,16,10,0.938,0.968870886,,0.026746896
FcR3A,OC43.Spike,FcR,P,M,15,16,0.953,0.981878788,,-0.001023165
IgA,B.1.351.RBD,Titer,P,NInf,15,10,0.978,0.993742574,,-0.002110617
IgA,OC43.Spike,Titer,P,NInf,15,10,0.978,0.993742574,,0.046520837
IgM,B.617.2.S,Titer,P,NInf,15,10,0.978,0.993742574,,0.104784839
IgM,B.617.2.S,Titer,M,NInf,16,10,0.979,0.993742574,,0.029466176
IgM,WT.S,Titer,M,NInf,16,10,0.979,0.993742574,,0.025708304
IgM,B.1.351.S,Titer,P,M,15,16,0.984,0.993742574,,-0.01641562
IgM,P1.S,Titer,P,M,15,16,0.984,0.993742574,,-0.011485568
IgM,WT.S,Titer,P,M,15,16,0.984,0.993742574,,0.003590686
FcR2B,HKU1.Spike,FcR,P,M,15,16,1,1,,-0.041147035
IgA,OC43.Spike,Titer,P,M,15,16,1,1,,0.072778325
IgM,B.1.351.RBD,Titer,P,NInf,15,10,1,1,,-0.016371838
IgM,HKU1.Spike,Titer,M,NInf,16,10,1,1,,-0.224404559
